# This .csv file was created 12.10.2024 14:35
# extracted out of file prod_mindist_mol_dimerarea.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CA/6fxb_ca_1
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"outer_dimerarea-MOL"
"880.0";"2.353812"
"890.0";"2.056761"
"900.0";"2.214087"
"910.0";"2.127994"
"920.0";"2.04518"
"930.0";"1.907636"
"940.0";"1.539051"
"950.0";"1.710208"
"960.0";"1.703047"
"970.0";"1.850233"
"980.0";"1.917563"
"990.0";"1.908535"
"1000.0";"2.049005"
"1010.0";"2.437682"
"1020.0";"2.509988"
"1030.0";"2.231547"
"1040.0";"2.498921"
"1050.0";"2.39558"
"1060.0";"2.493294"
"1070.0";"2.600594"
"1080.0";"2.534356"
"1090.0";"2.438394"
"1100.0";"2.461425"
"1110.0";"2.48198"
"1120.0";"2.496229"
"1130.0";"2.25756"
"1140.0";"2.461174"
"1150.0";"2.405229"
"1160.0";"2.223983"
"1170.0";"1.797002"
"1180.0";"1.528322"
"1190.0";"1.46045"
"1200.0";"1.508045"
"1210.0";"1.520646"
"1220.0";"1.59488"
"1230.0";"1.907327"
"1240.0";"2.051462"
"1250.0";"2.127957"
"1260.0";"2.185324"
"1270.0";"2.29445"
"1280.0";"2.084551"
"1290.0";"1.987868"
"1300.0";"2.288279"
"1310.0";"2.160967"
"1320.0";"2.164549"
"1330.0";"2.151504"
"1340.0";"2.431329"
"1350.0";"2.1694"
"1360.0";"2.158212"
"1370.0";"2.269284"
"1380.0";"2.057986"
"1390.0";"2.245504"
"1400.0";"2.219844"
"1410.0";"2.141265"
"1420.0";"2.03497"
"1430.0";"1.905144"
"1440.0";"2.029492"
"1450.0";"1.892734"
"1460.0";"1.964723"
"1470.0";"1.980443"
"1480.0";"1.932855"
"1490.0";"1.87552"
"1500.0";"1.928825"
"1510.0";"1.992654"
"1520.0";"1.959939"
"1530.0";"1.962088"
"1540.0";"1.999655"
"1550.0";"1.953779"
"1560.0";"1.958648"
"1570.0";"2.115015"
"1580.0";"2.169901"
"1590.0";"2.340563"
"1600.0";"2.112769"
"1610.0";"2.083105"
"1620.0";"2.027741"
"1630.0";"1.961343"
"1640.0";"2.014738"
"1650.0";"2.001958"
"1660.0";"1.978399"
"1670.0";"2.060765"
"1680.0";"2.085292"
"1690.0";"2.100475"
"1700.0";"1.833098"
"1710.0";"1.8801"
"1720.0";"1.958114"
"1730.0";"2.144895"
"1740.0";"2.305907"
"1750.0";"2.031835"
"1760.0";"2.15909"
"1770.0";"2.498029"
"1780.0";"2.477403"
"1790.0";"2.40396"
"1800.0";"2.484405"
"1810.0";"2.554343"
"1820.0";"2.57233"
"1830.0";"2.519321"
"1840.0";"2.425523"
"1850.0";"2.52088"
"1860.0";"2.45584"
"1870.0";"2.516521"
"1880.0";"2.54206"
"1890.0";"2.468989"
"1900.0";"2.397794"
"1910.0";"2.49439"
"1920.0";"2.459597"
"1930.0";"2.516024"
"1940.0";"2.435136"
"1950.0";"2.463784"
"1960.0";"2.444787"
"1970.0";"2.50905"
"1980.0";"2.565608"
"1990.0";"2.494947"
"2000.0";"2.342021"
"2010.0";"2.556735"
"2020.0";"2.529439"
"2030.0";"2.592982"
"2040.0";"2.574388"
"2050.0";"2.113754"
"2060.0";"2.016415"
"2070.0";"2.077958"
"2080.0";"2.050314"
"2090.0";"2.223264"
"2100.0";"2.353026"
"2110.0";"2.320234"
"2120.0";"2.31882"
"2130.0";"2.149198"
"2140.0";"2.40187"
"2150.0";"2.501897"
"2160.0";"2.422163"
"2170.0";"2.3588"
"2180.0";"2.389796"
"2190.0";"2.453604"
"2200.0";"2.483553"
"2210.0";"2.453811"
"2220.0";"2.444947"
"2230.0";"2.457904"
"2240.0";"2.382683"
"2250.0";"2.414766"
"2260.0";"2.459656"
"2270.0";"2.425769"
"2280.0";"2.278797"
"2290.0";"2.388312"
"2300.0";"2.387538"
"2310.0";"2.401749"
"2320.0";"2.427502"
"2330.0";"2.322843"
"2340.0";"2.080179"
"2350.0";"2.142362"
"2360.0";"2.116062"
"2370.0";"2.037834"
"2380.0";"2.017766"
"2390.0";"2.054058"
"2400.0";"2.154229"
"2410.0";"2.066633"
"2420.0";"2.124489"
"2430.0";"2.204206"
"2440.0";"2.209031"
"2450.0";"2.089715"
"2460.0";"2.212335"
"2470.0";"2.116424"
"2480.0";"2.130497"
"2490.0";"2.211219"
"2500.0";"2.269218"
"2510.0";"2.042086"
"2520.0";"2.227242"
"2530.0";"2.159358"
"2540.0";"2.154514"
"2550.0";"2.181076"
"2560.0";"2.121842"
"2570.0";"2.08044"
"2580.0";"1.857367"
"2590.0";"1.772875"
"2600.0";"1.844981"
"2610.0";"1.775518"
"2620.0";"1.666069"
"2630.0";"1.671513"
"2640.0";"1.665329"
"2650.0";"1.666147"
"2660.0";"1.973596"
"2670.0";"2.00507"
"2680.0";"1.861945"
"2690.0";"1.881351"
"2700.0";"2.166336"
"2710.0";"2.222309"
"2720.0";"2.38927"
"2730.0";"2.222915"
"2740.0";"2.111113"
"2750.0";"2.185594"
"2760.0";"1.943539"
"2770.0";"1.900777"
"2780.0";"1.838073"
"2790.0";"1.944211"
"2800.0";"1.846892"
"2810.0";"1.949213"
"2820.0";"2.038353"
"2830.0";"1.952382"
"2840.0";"1.947631"
"2850.0";"1.980607"
"2860.0";"1.702896"
"2870.0";"1.927829"
"2880.0";"1.956478"
"2890.0";"1.86996"
"2900.0";"1.721879"
"2910.0";"2.067233"
"2920.0";"1.943312"
"2930.0";"2.016556"
"2940.0";"1.999651"
"2950.0";"2.003239"
"2960.0";"1.940999"
"2970.0";"1.963974"
"2980.0";"1.998243"
"2990.0";"2.063878"
"3000.0";"1.993546"
"3010.0";"2.063763"
"3020.0";"2.017383"
"3030.0";"1.924034"
"3040.0";"1.96511"
"3050.0";"1.892174"
"3060.0";"1.967216"
"3070.0";"1.931347"
"3080.0";"1.927238"
"3090.0";"1.922439"
"3100.0";"1.910345"
"3110.0";"2.040779"
"3120.0";"1.981194"
"3130.0";"1.8929"
"3140.0";"2.041178"
"3150.0";"2.002683"
"3160.0";"1.992344"
"3170.0";"2.002887"
"3180.0";"2.041574"
"3190.0";"2.06708"
"3200.0";"2.197388"
"3210.0";"2.151567"
"3220.0";"2.183398"
"3230.0";"2.234591"
"3240.0";"2.100316"
"3250.0";"2.04573"
"3260.0";"2.083838"
"3270.0";"2.119975"
"3280.0";"2.094604"
"3290.0";"2.080864"
"3300.0";"2.132493"
"3310.0";"2.112474"
"3320.0";"2.165246"
"3330.0";"2.136864"
"3340.0";"2.190543"
"3350.0";"2.069916"
"3360.0";"2.036609"
"3370.0";"2.055408"
"3380.0";"2.029519"
"3390.0";"2.059703"
"3400.0";"2.138931"
"3410.0";"2.142587"
"3420.0";"2.067039"
"3430.0";"2.098992"
"3440.0";"2.157475"
"3450.0";"2.205655"
"3460.0";"2.238825"
"3470.0";"2.21796"
"3480.0";"2.130252"
"3490.0";"2.176637"
"3500.0";"2.147578"
"3510.0";"2.25975"
"3520.0";"2.171587"
"3530.0";"2.182336"
"3540.0";"2.187085"
"3550.0";"2.050698"
"3560.0";"2.18492"
"3570.0";"2.16241"
"3580.0";"2.142147"
"3590.0";"2.166913"
"3600.0";"2.057846"
"3610.0";"2.017134"
"3620.0";"2.095691"
"3630.0";"2.092025"
"3640.0";"2.141339"
"3650.0";"2.092946"
"3660.0";"2.062958"
"3670.0";"2.012721"
"3680.0";"2.040668"
"3690.0";"2.050341"
"3700.0";"2.023762"
"3710.0";"2.071981"
"3720.0";"2.025757"
"3730.0";"2.101527"
"3740.0";"2.10636"
"3750.0";"2.126924"
"3760.0";"2.21047"
"3770.0";"2.213208"
"3780.0";"2.140717"
"3790.0";"2.220531"
"3800.0";"2.186433"
"3810.0";"2.148434"
"3820.0";"2.085237"
"3830.0";"2.155147"
"3840.0";"2.132041"
"3850.0";"2.26791"
"3860.0";"2.305192"
"3870.0";"2.299684"
"3880.0";"2.394045"
"3890.0";"2.426136"
"3900.0";"2.295346"
"3910.0";"2.358775"
"3920.0";"2.275917"
"3930.0";"2.410949"
"3940.0";"2.270586"
"3950.0";"2.314778"
"3960.0";"2.356911"
"3970.0";"2.239488"
"3980.0";"2.223145"
"3990.0";"2.317357"
"4000.0";"2.352567"
"4010.0";"2.386987"
"4020.0";"2.318986"
"4030.0";"2.454388"
"4040.0";"2.416129"
"4050.0";"2.450039"
"4060.0";"2.363045"
"4070.0";"2.418341"
"4080.0";"2.436028"
"4090.0";"2.394187"
"4100.0";"2.445496"
"4110.0";"2.495313"
"4120.0";"2.45314"
"4130.0";"2.461478"
"4140.0";"2.406814"
"4150.0";"2.39707"
"4160.0";"2.448491"
"4170.0";"2.430478"
"4180.0";"2.457841"
"4190.0";"2.404234"
"4200.0";"2.485733"
"4210.0";"2.506968"
"4220.0";"2.494156"
"4230.0";"2.505733"
"4240.0";"2.491009"
"4250.0";"2.42443"
"4260.0";"2.493267"
"4270.0";"2.441471"
"4280.0";"2.445147"
"4290.0";"2.474878"
"4300.0";"2.527794"
"4310.0";"2.449307"
"4320.0";"2.537522"
"4330.0";"2.438547"
"4340.0";"2.555729"
"4350.0";"2.502193"
"4360.0";"2.472993"
"4370.0";"2.411712"
"4380.0";"2.471487"
"4390.0";"2.408375"
"4400.0";"2.373498"
"4410.0";"2.428102"
"4420.0";"2.454156"
"4430.0";"2.479508"
"4440.0";"2.439097"
"4450.0";"2.472972"
"4460.0";"2.40056"
"4470.0";"2.409629"
"4480.0";"2.401484"
"4490.0";"2.431389"
"4500.0";"2.479995"
"4510.0";"2.40374"
"4520.0";"2.411338"
"4530.0";"2.395839"
"4540.0";"2.450848"
"4550.0";"2.428486"
"4560.0";"2.464069"
"4570.0";"2.430703"
"4580.0";"2.470148"
"4590.0";"2.415692"
"4600.0";"2.416015"
"4610.0";"2.400219"
"4620.0";"2.396519"
"4630.0";"2.379761"
"4640.0";"2.395402"
"4650.0";"2.454363"
"4660.0";"2.450627"
"4670.0";"2.406248"
"4680.0";"2.444346"
"4690.0";"2.410685"
"4700.0";"2.470205"
"4710.0";"2.422157"
"4720.0";"2.510545"
"4730.0";"2.39058"
"4740.0";"2.436957"
"4750.0";"2.426224"
"4760.0";"2.353147"
"4770.0";"2.470243"
"4780.0";"2.414097"
"4790.0";"2.436909"
"4800.0";"2.409292"
"4810.0";"2.491149"
"4820.0";"2.341717"
"4830.0";"2.406834"
"4840.0";"2.4122"
"4850.0";"2.495239"
"4860.0";"2.480383"
"4870.0";"2.501925"
"4880.0";"2.484828"
"4890.0";"2.465236"
"4900.0";"2.463572"
"4910.0";"2.416461"
"4920.0";"2.425845"
"4930.0";"2.492766"
"4940.0";"2.339327"
"4950.0";"2.32894"
"4960.0";"2.540326"
"4970.0";"2.503618"
"4980.0";"2.479877"
"4990.0";"2.388446"
"5000.0";"2.543455"
"5010.0";"2.519193"
"5020.0";"2.452549"
"5030.0";"2.567911"
"5040.0";"2.594437"
"5050.0";"2.544681"
"5060.0";"2.508496"
"5070.0";"2.515451"
"5080.0";"2.47444"
"5090.0";"2.513566"
"5100.0";"2.527164"
"5110.0";"2.447163"
"5120.0";"2.488977"
"5130.0";"2.561857"
"5140.0";"2.540131"
"5150.0";"2.480425"
"5160.0";"2.509731"
"5170.0";"2.507665"
"5180.0";"2.516042"
"5190.0";"2.399262"
"5200.0";"2.420817"
"5210.0";"2.505944"
"5220.0";"2.505805"
"5230.0";"2.592233"
"5240.0";"2.66549"
"5250.0";"2.624032"
"5260.0";"2.561704"
"5270.0";"2.551599"
"5280.0";"2.452891"
"5290.0";"2.643497"
"5300.0";"2.494336"
"5310.0";"2.454522"
"5320.0";"2.512228"
"5330.0";"2.486033"
"5340.0";"2.502118"
"5350.0";"2.430327"
"5360.0";"2.319683"
"5370.0";"2.280353"
"5380.0";"2.463536"
"5390.0";"2.459812"
"5400.0";"2.443625"
"5410.0";"2.429"
"5420.0";"2.403255"
"5430.0";"2.447581"
"5440.0";"2.419847"
"5450.0";"2.426702"
"5460.0";"2.451261"
"5470.0";"2.46687"
"5480.0";"2.44592"
"5490.0";"2.482715"
"5500.0";"2.449452"
"5510.0";"2.459667"
"5520.0";"2.534305"
"5530.0";"2.526177"
"5540.0";"2.528363"
"5550.0";"2.424703"
"5560.0";"2.264168"
"5570.0";"2.160207"
"5580.0";"2.146822"
"5590.0";"2.142819"
"5600.0";"2.074213"
"5610.0";"2.177906"
"5620.0";"2.153656"
"5630.0";"2.1923"
"5640.0";"2.227067"
"5650.0";"2.17386"
"5660.0";"2.197317"
"5670.0";"2.219848"
"5680.0";"2.093372"
"5690.0";"2.13317"
"5700.0";"2.149781"
"5710.0";"2.220332"
"5720.0";"2.261775"
"5730.0";"2.235828"
"5740.0";"2.230859"
"5750.0";"2.251461"
"5760.0";"2.304012"
"5770.0";"2.179414"
"5780.0";"2.135352"
"5790.0";"2.141815"
"5800.0";"2.16519"
"5810.0";"2.17999"
"5820.0";"2.220907"
"5830.0";"2.188608"
"5840.0";"2.26757"
"5850.0";"2.231567"
"5860.0";"2.233952"
"5870.0";"2.242844"
"5880.0";"2.253822"
"5890.0";"2.166322"
"5900.0";"2.124284"
"5910.0";"2.167699"
"5920.0";"2.192638"
"5930.0";"2.283654"
"5940.0";"2.17204"
"5950.0";"2.174445"
"5960.0";"2.175552"
"5970.0";"2.299303"
"5980.0";"2.230614"
"5990.0";"2.161947"
"6000.0";"2.060344"
"6010.0";"2.143615"
"6020.0";"2.13858"
"6030.0";"2.132234"
"6040.0";"2.144167"
"6050.0";"2.073793"
"6060.0";"2.109779"
"6070.0";"2.152298"
"6080.0";"2.187462"
"6090.0";"2.136017"
"6100.0";"2.143995"
"6110.0";"2.070316"
"6120.0";"2.056686"
"6130.0";"2.11448"
"6140.0";"2.074466"
"6150.0";"2.116543"
"6160.0";"2.098642"
"6170.0";"2.124104"
"6180.0";"2.111548"
"6190.0";"2.108829"
"6200.0";"2.122158"
"6210.0";"2.11673"
"6220.0";"2.048299"
"6230.0";"2.111256"
"6240.0";"2.109116"
"6250.0";"2.058793"
"6260.0";"2.130351"
"6270.0";"2.142915"
"6280.0";"2.115373"
"6290.0";"2.065463"
"6300.0";"2.11478"
"6310.0";"2.121045"
"6320.0";"2.125559"
"6330.0";"2.086355"
"6340.0";"2.105566"
"6350.0";"2.195671"
"6360.0";"2.090706"
"6370.0";"2.127507"
"6380.0";"2.097099"
"6390.0";"2.060904"
"6400.0";"2.096694"
"6410.0";"2.070867"
"6420.0";"2.080494"
"6430.0";"2.09943"
"6440.0";"2.100154"
"6450.0";"2.094773"
"6460.0";"2.077615"
"6470.0";"2.07633"
"6480.0";"2.12493"
"6490.0";"2.103274"
"6500.0";"2.146932"
"6510.0";"2.103994"
"6520.0";"2.101306"
"6530.0";"2.154512"
"6540.0";"2.15433"
"6550.0";"2.075708"
"6560.0";"2.107987"
"6570.0";"2.098217"
"6580.0";"2.075471"
"6590.0";"2.15242"
"6600.0";"2.076752"
"6610.0";"2.155886"
"6620.0";"2.129975"
"6630.0";"2.136404"
"6640.0";"2.084326"
"6650.0";"2.116803"
"6660.0";"2.093671"
"6670.0";"2.054079"
"6680.0";"2.093609"
"6690.0";"2.101981"
"6700.0";"2.104279"
"6710.0";"2.071299"
"6720.0";"2.15503"
"6730.0";"2.093301"
"6740.0";"2.13699"
"6750.0";"2.119445"
"6760.0";"2.034014"
"6770.0";"2.143426"
"6780.0";"2.11622"
"6790.0";"2.098217"
"6800.0";"2.081318"
"6810.0";"2.109373"
"6820.0";"2.118321"
"6830.0";"2.083197"
"6840.0";"2.130581"
"6850.0";"2.057414"
"6860.0";"2.150277"
"6870.0";"2.070445"
"6880.0";"2.083759"
"6890.0";"2.074887"
"6900.0";"2.040354"
"6910.0";"2.074996"
"6920.0";"2.066668"
"6930.0";"2.109464"
"6940.0";"2.092618"
"6950.0";"2.135609"
"6960.0";"2.138318"
"6970.0";"1.917067"
"6980.0";"2.109818"
"6990.0";"2.131213"
"7000.0";"1.931028"
"7010.0";"1.908086"
"7020.0";"1.925959"
"7030.0";"1.99123"
"7040.0";"1.948022"
"7050.0";"1.950818"
"7060.0";"1.896866"
"7070.0";"1.923405"
"7080.0";"1.977558"
"7090.0";"2.114428"
"7100.0";"2.044828"
"7110.0";"2.052543"
"7120.0";"1.957193"
"7130.0";"1.990631"
"7140.0";"2.016796"
"7150.0";"1.973945"
"7160.0";"2.02622"
"7170.0";"2.068498"
"7180.0";"1.9992"
"7190.0";"1.981543"
"7200.0";"2.015621"
"7210.0";"1.979435"
"7220.0";"2.00963"
"7230.0";"2.065841"
"7240.0";"2.074615"
"7250.0";"2.082536"
"7260.0";"2.101463"
"7270.0";"1.933704"
"7280.0";"1.949487"
"7290.0";"2.015023"
"7300.0";"2.05776"
"7310.0";"2.136995"
"7320.0";"1.975467"
"7330.0";"2.035248"
"7340.0";"2.014707"
"7350.0";"2.014827"
"7360.0";"2.079009"
"7370.0";"2.039165"
"7380.0";"2.039972"
"7390.0";"2.049748"
"7400.0";"2.111021"
"7410.0";"2.040459"
"7420.0";"1.95543"
"7430.0";"2.085277"
"7440.0";"2.170218"
"7450.0";"2.042818"
"7460.0";"2.090338"
"7470.0";"2.034137"
"7480.0";"2.095228"
"7490.0";"1.977245"
"7500.0";"2.05474"
"7510.0";"2.065831"
"7520.0";"2.055507"
"7530.0";"2.143804"
"7540.0";"2.076918"
"7550.0";"2.13286"
"7560.0";"2.117685"
"7570.0";"2.110336"
"7580.0";"2.095113"
"7590.0";"2.097532"
"7600.0";"2.028932"
"7610.0";"2.109264"
"7620.0";"2.136703"
"7630.0";"2.178035"
"7640.0";"2.089933"
"7650.0";"2.129381"
"7660.0";"2.102103"
"7670.0";"2.119869"
"7680.0";"2.119556"
"7690.0";"2.105911"
"7700.0";"2.101585"
"7710.0";"2.091867"
"7720.0";"2.115065"
"7730.0";"2.131556"
"7740.0";"2.080375"
"7750.0";"2.148099"
"7760.0";"2.088817"
"7770.0";"2.062806"
"7780.0";"2.077856"
"7790.0";"2.087073"
"7800.0";"2.092167"
"7810.0";"2.038315"
"7820.0";"2.118602"
"7830.0";"2.126763"
"7840.0";"2.083183"
"7850.0";"2.135855"
"7860.0";"2.125191"
"7870.0";"2.090697"
"7880.0";"2.082666"
"7890.0";"2.140195"
"7900.0";"2.176882"
"7910.0";"2.111418"
"7920.0";"2.18243"
"7930.0";"2.195514"
"7940.0";"2.24067"
"7950.0";"2.09933"
"7960.0";"2.097411"
"7970.0";"2.087881"
"7980.0";"2.193026"
"7990.0";"2.146142"
"8000.0";"2.153883"
"8010.0";"2.136676"
"8020.0";"2.079778"
"8030.0";"2.11195"
"8040.0";"2.112232"
"8050.0";"2.032488"
"8060.0";"2.035223"
"8070.0";"1.977829"
"8080.0";"1.874847"
"8090.0";"1.796733"
"8100.0";"1.874765"
"8110.0";"1.821279"
"8120.0";"1.778513"
"8130.0";"1.915143"
"8140.0";"1.93774"
"8150.0";"1.891732"
"8160.0";"1.867578"
"8170.0";"1.912916"
"8180.0";"1.917068"
"8190.0";"1.818477"
"8200.0";"1.983459"
"8210.0";"1.885201"
"8220.0";"1.934945"
"8230.0";"1.963289"
"8240.0";"1.931253"
"8250.0";"2.050908"
"8260.0";"1.926586"
"8270.0";"2.069351"
"8280.0";"1.958886"
"8290.0";"2.055161"
"8300.0";"2.092434"
"8310.0";"2.006402"
"8320.0";"2.03126"
"8330.0";"2.049779"
"8340.0";"1.924776"
"8350.0";"1.909938"
"8360.0";"2.018368"
"8370.0";"1.908661"
"8380.0";"1.904949"
"8390.0";"1.926465"
"8400.0";"1.857989"
"8410.0";"2.02007"
"8420.0";"1.989485"
"8430.0";"2.235983"
"8440.0";"2.212466"
"8450.0";"2.354673"
"8460.0";"2.206257"
"8470.0";"2.235896"
"8480.0";"2.286269"
"8490.0";"2.161551"
"8500.0";"2.153839"
"8510.0";"2.05664"
"8520.0";"2.182776"
"8530.0";"2.193985"
"8540.0";"2.248179"
"8550.0";"2.270544"
"8560.0";"2.268874"
"8570.0";"2.328994"
"8580.0";"2.328196"
"8590.0";"2.303356"
"8600.0";"2.457973"
"8610.0";"2.316955"
"8620.0";"2.20901"
"8630.0";"2.30445"
"8640.0";"2.188775"
"8650.0";"2.27873"
"8660.0";"2.204343"
"8670.0";"2.268861"
"8680.0";"2.299151"
"8690.0";"2.312362"
"8700.0";"2.249533"
"8710.0";"2.296747"
"8720.0";"2.252782"
"8730.0";"2.247782"
"8740.0";"2.268018"
"8750.0";"2.227985"
"8760.0";"2.247127"
"8770.0";"2.214759"
"8780.0";"2.262117"
"8790.0";"2.227443"
"8800.0";"2.225662"
"8810.0";"2.273382"
"8820.0";"2.180586"
"8830.0";"2.193104"
"8840.0";"2.247445"
"8850.0";"2.300731"
"8860.0";"2.218505"
"8870.0";"2.297089"
"8880.0";"2.23463"
"8890.0";"2.255337"
"8900.0";"2.286086"
"8910.0";"2.241401"
"8920.0";"2.320135"
"8930.0";"2.354633"
"8940.0";"2.270675"
"8950.0";"2.40591"
"8960.0";"2.407465"
"8970.0";"2.276414"
"8980.0";"2.284972"
"8990.0";"2.366669"
"9000.0";"2.267858"
"9010.0";"2.279008"
"9020.0";"2.308215"
"9030.0";"2.195977"
"9040.0";"2.318421"
"9050.0";"2.24398"
"9060.0";"2.311187"
"9070.0";"2.316531"
"9080.0";"2.353865"
"9090.0";"2.207367"
"9100.0";"2.240461"
"9110.0";"2.207063"
"9120.0";"2.262064"
"9130.0";"2.279253"
"9140.0";"2.347798"
"9150.0";"2.431881"
"9160.0";"2.381405"
"9170.0";"2.383853"
"9180.0";"2.349881"
"9190.0";"2.240401"
"9200.0";"2.256651"
"9210.0";"2.183494"
"9220.0";"2.247381"
"9230.0";"2.332108"
"9240.0";"2.372035"
"9250.0";"2.365229"
"9260.0";"2.304464"
"9270.0";"2.386241"
"9280.0";"2.234804"
"9290.0";"2.249012"
"9300.0";"2.307208"
"9310.0";"2.466295"
"9320.0";"2.355491"
"9330.0";"2.389486"
"9340.0";"2.396765"
"9350.0";"2.3608"
"9360.0";"2.358062"
"9370.0";"2.415079"
"9380.0";"2.387003"
"9390.0";"2.386413"
"9400.0";"2.33789"
"9410.0";"2.343556"
"9420.0";"2.345362"
"9430.0";"2.381494"
"9440.0";"2.373956"
"9450.0";"2.397428"
"9460.0";"2.32762"
"9470.0";"2.340608"
"9480.0";"2.394022"
"9490.0";"2.305639"
"9500.0";"2.403237"
"9510.0";"2.420501"
"9520.0";"2.359053"
"9530.0";"2.313667"
"9540.0";"2.401659"
"9550.0";"2.384448"
"9560.0";"2.344978"
"9570.0";"2.270196"
"9580.0";"2.296596"
"9590.0";"2.311533"
"9600.0";"2.305167"
"9610.0";"2.251676"
"9620.0";"2.223062"
"9630.0";"2.320287"
"9640.0";"2.263601"
"9650.0";"2.264287"
"9660.0";"2.263908"
"9670.0";"2.374648"
"9680.0";"2.337975"
"9690.0";"2.197379"
"9700.0";"2.176127"
"9710.0";"2.18935"
"9720.0";"2.245045"
"9730.0";"2.2073"
"9740.0";"2.310634"
"9750.0";"2.328159"
"9760.0";"2.406935"
"9770.0";"2.398096"
"9780.0";"2.38463"
"9790.0";"2.423318"
"9800.0";"2.354028"
"9810.0";"2.328086"
"9820.0";"2.437144"
"9830.0";"2.340883"
"9840.0";"2.456424"
"9850.0";"2.319912"
"9860.0";"2.269128"
"9870.0";"2.342925"
"9880.0";"2.304375"
"9890.0";"2.346862"
"9900.0";"2.327473"
"9910.0";"2.406724"
"9920.0";"2.417553"
"9930.0";"2.328009"
"9940.0";"2.373995"
"9950.0";"2.133211"
"9960.0";"2.236992"
"9970.0";"2.337401"
"9980.0";"2.366567"
"9990.0";"2.327127"
"10000.0";"2.276064"
"10010.0";"2.234396"
"10020.0";"2.136221"
"10030.0";"2.191914"
"10040.0";"2.15991"
"10050.0";"2.187211"
"10060.0";"2.185172"
"10070.0";"2.18741"
"10080.0";"2.154281"
"10090.0";"2.109205"
"10100.0";"2.178841"
"10110.0";"2.163388"
"10120.0";"2.191793"
"10130.0";"2.163575"
"10140.0";"2.132411"
"10150.0";"2.073701"
"10160.0";"2.089525"
"10170.0";"2.175203"
"10180.0";"2.139668"
"10190.0";"2.128852"
"10200.0";"2.160012"
"10210.0";"2.220789"
"10220.0";"2.22057"
"10230.0";"2.160344"
"10240.0";"2.125772"
"10250.0";"2.145934"
"10260.0";"2.200645"
"10270.0";"2.100016"
"10280.0";"2.131488"
"10290.0";"2.10538"
"10300.0";"2.117129"
"10310.0";"2.125276"
"10320.0";"2.110573"
"10330.0";"2.160023"
"10340.0";"2.129837"
"10350.0";"2.179871"
"10360.0";"2.207502"
"10370.0";"2.209884"
"10380.0";"2.13983"
"10390.0";"2.220388"
"10400.0";"2.213799"
"10410.0";"2.2582"
"10420.0";"2.26585"
"10430.0";"2.256506"
"10440.0";"2.260076"
"10450.0";"2.362723"
"10460.0";"2.263755"
"10470.0";"2.30928"
"10480.0";"2.364728"
"10490.0";"2.341147"
"10500.0";"2.335661"
"10510.0";"2.354072"
"10520.0";"2.401708"
"10530.0";"2.325696"
"10540.0";"2.259018"
"10550.0";"2.311568"
"10560.0";"2.384266"
"10570.0";"2.393186"
"10580.0";"2.406131"
"10590.0";"2.297555"
"10600.0";"2.265371"
"10610.0";"2.137788"
"10620.0";"2.186763"
