Sample	pH	Round	Ligand	Measure
BLGCAD	6	3	CAD10	0
BLGCAD	6	3	CAD11	0
BLGCAD	6	3	CAD12	0
BLGCAD	6	3	CAD13	0
BLGCAD	6	3	CAD14	0
BLGCAD	6	3	CAD15	0
BLGCAD	6	3	CAD16	0
BLGCAD	6	3	CAD17	0
BLGCAD	6	3	CAD18	0
BLGCAD	6	3	CAD19	0
BLGCAD	6	3	CAD20	0
BLGCLA	6	1	CLA1	0
BLGCLA	6	1	CLA2	0
BLGCLA	6	1	CLA3	0
BLGCLA	6	1	CLA4	0
BLGCLA	6	1	CLA5	0
BLGCLA	6	1	CLA6	0
BLGCLA	6	1	CLA7	0
BLGCLA	6	1	CLA8	0
BLGCLA	6	1	CLA9	0
BLGCLA	6	1	CLA10	0
BLGCLA	6	1	CLA11	0
BLGCLA	6	1	CLA12	0
BLGCLA	6	1	CLA13	0
BLGCLA	6	1	CLA14	0
BLGCLA	6	1	CLA15	0
BLGCLA	6	1	CLA16	0
BLGCLA	6	1	CLA17	0
BLGCLA	6	1	CLA18	0
BLGCLA	6	1	CLA19	0
BLGCLA	6	1	CLA20	4
BLGCLA	6	2	CLA1	0
BLGCLA	6	2	CLA2	0
BLGCLA	6	2	CLA3	0
BLGCLA	6	2	CLA4	0
BLGCLA	6	2	CLA5	2
BLGCLA	6	2	CLA6	0
BLGCLA	6	2	CLA7	0
BLGCLA	6	2	CLA8	0
BLGCLA	6	2	CLA9	0
BLGCLA	6	2	CLA10	0
BLGCLA	6	2	CLA11	0
BLGCLA	6	2	CLA12	0
BLGCLA	6	2	CLA13	0
BLGCLA	6	2	CLA14	4
BLGCLA	6	2	CLA15	0
BLGCLA	6	2	CLA16	0
BLGCLA	6	2	CLA17	0
BLGCLA	6	2	CLA18	0
BLGCLA	6	2	CLA19	0
BLGCLA	6	2	CLA20	0
BLGCLA	6	3	CLA1	0
BLGCLA	6	3	CLA2	0
BLGCLA	6	3	CLA3	0
BLGCLA	6	3	CLA4	0
BLGCLA	6	3	CLA5	0
BLGCLA	6	3	CLA6	2
BLGCLA	6	3	CLA7	0
BLGCLA	6	3	CLA8	0
BLGCLA	6	3	CLA9	0
BLGCLA	6	3	CLA10	0
BLGCLA	6	3	CLA11	0
BLGCLA	6	3	CLA12	0
BLGCLA	6	3	CLA13	0
BLGCLA	6	3	CLA14	0
BLGCLA	6	3	CLA15	0
BLGCLA	6	3	CLA16	0
BLGCLA	6	3	CLA17	2
BLGCLA	6	3	CLA18	0
BLGCLA	6	3	CLA19	0
BLGCLA	6	3	CLA20	0
BLGCLAB	6	1	CLAB1	0
BLGCLAB	6	1	CLAB2	0
BLGCLAB	6	1	CLAB3	0
BLGCLAB	6	1	CLAB4	0
BLGCLAB	6	1	CLAB5	0
BLGCLAB	6	1	CLAB6	0
BLGCLAB	6	1	CLAB7	0
BLGCLAB	6	1	CLAB8	0
BLGCLAB	6	1	CLAB9	0
BLGCLAB	6	1	CLAB10	0
BLGCLAB	6	1	CLAB11	0
BLGCLAB	6	1	CLAB12	0
BLGCLAB	6	1	CLAB13	0
BLGCLAB	6	1	CLAB14	0
BLGCLAB	6	1	CLAB15	0
BLGCLAB	6	1	CLAB16	0
BLGCLAB	6	1	CLAB17	0
BLGCLAB	6	1	CLAB18	0
BLGCLAB	6	1	CLAB19	0
BLGCLAB	6	1	CLAB20	0
BLGCLAB	6	2	CLAB1	0
BLGCLAB	6	2	CLAB2	0
BLGCLAB	6	2	CLAB3	0
BLGCLAB	6	2	CLAB4	0
BLGCLAB	6	2	CLAB5	0
BLGCLAB	6	2	CLAB6	0
BLGCLAB	6	2	CLAB7	0
BLGCLAB	6	2	CLAB8	0
BLGCLAB	6	2	CLAB9	0
BLGCLAB	6	2	CLAB10	0
BLGCLAB	6	2	CLAB11	0
BLGCLAB	6	2	CLAB12	0
BLGCLAB	6	2	CLAB13	0
BLGCLAB	6	2	CLAB14	0
BLGCLAB	6	2	CLAB15	0
BLGCLAB	6	2	CLAB16	3
BLGCLAB	6	2	CLAB17	0
BLGCLAB	6	2	CLAB18	0
BLGCLAB	6	2	CLAB19	0
BLGCLAB	6	2	CLAB20	0
BLGCLAB	6	3	CLAB1	0
BLGCLAB	6	3	CLAB2	0
BLGCLAB	6	3	CLAB3	0
BLGCLAB	6	3	CLAB4	0
BLGCLAB	6	3	CLAB5	0
BLGCLAB	6	3	CLAB6	0
BLGCLAB	6	3	CLAB7	0
BLGCLAB	6	3	CLAB8	0
BLGCLAB	6	3	CLAB9	0
BLGCLAB	6	3	CLAB10	0
BLGCLAB	6	3	CLAB11	0
BLGCLAB	6	3	CLAB12	0
BLGCLAB	6	3	CLAB13	0
BLGCLAB	6	3	CLAB14	0
BLGCLAB	6	3	CLAB15	0
BLGCLAB	6	3	CLAB16	0
BLGCLAB	6	3	CLAB17	0
BLGCLAB	6	3	CLAB18	0
BLGCLAB	6	3	CLAB19	0
BLGCLAB	6	3	CLAB20	0
BLGCLAD	6	1	CLAD1	0
BLGCLAD	6	1	CLAD2	0
BLGCLAD	6	1	CLAD3	0
BLGCLAD	6	1	CLAD4	0
BLGCLAD	6	1	CLAD5	0
BLGCLAD	6	1	CLAD6	0
BLGCLAD	6	1	CLAD7	0
BLGCLAD	6	1	CLAD8	0
BLGCLAD	6	1	CLAD9	0
BLGCLAD	6	1	CLAD10	0
BLGCLAD	6	1	CLAD11	0
BLGCLAD	6	1	CLAD12	0
BLGCLAD	6	1	CLAD13	0
BLGCLAD	6	1	CLAD14	0
BLGCLAD	6	1	CLAD15	4
BLGCLAD	6	1	CLAD16	0
BLGCLAD	6	1	CLAD17	0
BLGCLAD	6	1	CLAD18	0
BLGCLAD	6	1	CLAD19	0
BLGCLAD	6	1	CLAD20	0
BLGCLAD	6	2	CLAD1	0
BLGCLAD	6	2	CLAD2	0
BLGCLAD	6	2	CLAD3	0
BLGCLAD	6	2	CLAD4	0
BLGCLAD	6	2	CLAD5	0
BLGCLAD	6	2	CLAD6	0
BLGCLAD	6	2	CLAD7	0
BLGCLAD	6	2	CLAD8	0
BLGCLAD	6	2	CLAD9	0
BLGCLAD	6	2	CLAD10	0
BLGCLAD	6	2	CLAD11	0
BLGCLAD	6	2	CLAD12	0
BLGCLAD	6	2	CLAD13	0
BLGCLAD	6	2	CLAD14	0
BLGCLAD	6	2	CLAD15	0
BLGCLAD	6	2	CLAD16	2
BLGCLAD	6	2	CLAD17	0
BLGCLAD	6	2	CLAD18	0
BLGCLAD	6	2	CLAD19	0
BLGCLAD	6	2	CLAD20	0
BLGCLAD	6	3	CLAD1	0
BLGCLAD	6	3	CLAD2	0
BLGCLAD	6	3	CLAD3	0
BLGCLAD	6	3	CLAD4	0
BLGCLAD	6	3	CLAD5	0
BLGCLAD	6	3	CLAD6	0
BLGCLAD	6	3	CLAD7	0
BLGCLAD	6	3	CLAD8	0
BLGCLAD	6	3	CLAD9	1
BLGCLAD	6	3	CLAD10	0
BLGCLAD	6	3	CLAD11	0
BLGCLAD	6	3	CLAD12	0
BLGCLAD	6	3	CLAD13	0
BLGCLAD	6	3	CLAD14	0
BLGCLAD	6	3	CLAD15	0
BLGCLAD	6	3	CLAD16	0
BLGCLAD	6	3	CLAD17	0
BLGCLAD	6	3	CLAD18	0
BLGCLAD	6	3	CLAD19	0
BLGCLAD	6	3	CLAD20	0
BLGCA	9	1	CA1	1
BLGCA	9	1	CA2	0
BLGCA	9	1	CA3	0
BLGCA	9	1	CA4	0
BLGCA	9	1	CA5	0
BLGCA	9	1	CA6	0
BLGCA	9	1	CA7	0
BLGCA	9	1	CA8	0
BLGCA	9	1	CA9	0
BLGCA	9	1	CA10	0
BLGCA	9	2	CA1	1
BLGCA	9	2	CA2	0
BLGCA	9	2	CA3	0
BLGCA	9	2	CA4	0
BLGCA	9	2	CA5	0
BLGCA	9	2	CA6	0
BLGCA	9	2	CA7	0
BLGCA	9	2	CA8	0
BLGCA	9	2	CA9	0
BLGCA	9	2	CA10	0
BLGCA	9	3	CA1	0
BLGCA	9	3	CA2	0
BLGCA	9	3	CA3	2
BLGCA	9	3	CA4	0
BLGCA	9	3	CA5	0
BLGCA	9	3	CA6	0
BLGCA	9	3	CA7	0
BLGCA	9	3	CA8	0
BLGCA	9	3	CA9	0
BLGCA	9	3	CA10	1
BLGCAB	9	1	CAB1	0
BLGCAB	9	1	CAB2	0
BLGCAB	9	1	CAB3	0
BLGCAB	9	1	CAB4	0
BLGCAB	9	1	CAB5	0
BLGCAB	9	1	CAB6	0
BLGCAB	9	1	CAB7	0
BLGCAB	9	1	CAB8	7
BLGCAB	9	1	CAB9	0
BLGCAB	9	1	CAB10	0
BLGCAB	9	2	CAB1	0
BLGCAB	9	2	CAB2	0
BLGCAB	9	2	CAB3	0
BLGCAB	9	2	CAB4	0
BLGCAB	9	2	CAB5	0
BLGCAB	9	2	CAB6	0
BLGCAB	9	2	CAB7	0
BLGCAB	9	2	CAB8	0
BLGCAB	9	2	CAB9	2
BLGCAB	9	2	CAB10	0
BLGCAB	9	3	CAB1	0
BLGCAB	9	3	CAB2	0
BLGCAB	9	3	CAB3	0
BLGCAB	9	3	CAB4	3
BLGCAB	9	3	CAB5	0
BLGCAB	9	3	CAB6	0
BLGCAB	9	3	CAB7	0
BLGCAB	9	3	CAB8	0
BLGCAB	9	3	CAB9	0
BLGCAB	9	3	CAB10	0
BLGCAD	9	1	CAD1	0
BLGCAD	9	1	CAD2	0
BLGCAD	9	1	CAD3	0
BLGCAD	9	1	CAD4	0
BLGCAD	9	1	CAD5	0
BLGCAD	9	1	CAD6	0
BLGCAD	9	1	CAD7	0
BLGCAD	9	1	CAD8	0
BLGCAD	9	1	CAD9	0
BLGCAD	9	1	CAD10	0
BLGCAD	9	2	CAD1	0
BLGCAD	9	2	CAD2	0
BLGCAD	9	2	CAD3	0
BLGCAD	9	2	CAD4	0
BLGCAD	9	2	CAD5	0
BLGCAD	9	2	CAD6	0
BLGCAD	9	2	CAD7	0
BLGCAD	9	2	CAD8	0
BLGCAD	9	2	CAD9	0
BLGCAD	9	2	CAD10	0
BLGCAD	9	3	CAD1	0
BLGCAD	9	3	CAD2	0
BLGCAD	9	3	CAD3	0
BLGCAD	9	3	CAD4	2
BLGCAD	9	3	CAD5	0
BLGCAD	9	3	CAD6	0
BLGCAD	9	3	CAD7	0
BLGCAD	9	3	CAD8	0
BLGCAD	9	3	CAD9	1
BLGCAD	9	3	CAD10	0
BLGCLA	9	1	CLA1	1
BLGCLA	9	1	CLA2	0
BLGCLA	9	1	CLA3	1
BLGCLA	9	1	CLA4	2
BLGCLA	9	1	CLA5	0
BLGCLA	9	1	CLA6	0
BLGCLA	9	1	CLA7	0
BLGCLA	9	1	CLA8	0
BLGCLA	9	1	CLA9	0
BLGCLA	9	1	CLA10	0
BLGCLA	9	2	CLA1	0
BLGCLA	9	2	CLA2	1
BLGCLA	9	2	CLA3	1
BLGCLA	9	2	CLA4	0
BLGCLA	9	2	CLA5	0
BLGCLA	9	2	CLA6	0
BLGCLA	9	2	CLA7	0
BLGCLA	9	2	CLA8	3
BLGCLA	9	2	CLA9	0
BLGCLA	9	2	CLA10	0
BLGCLA	9	3	CLA1	1
BLGCLA	9	3	CLA2	0
BLGCLA	9	3	CLA3	0
BLGCLA	9	3	CLA4	2
BLGCLA	9	3	CLA5	0
BLGCLA	9	3	CLA6	0
BLGCLA	9	3	CLA7	0
BLGCLA	9	3	CLA8	0
BLGCLA	9	3	CLA9	0
BLGCLA	9	3	CLA10	0
BLGCLAB	9	1	CLAB1	1
BLGCLAB	9	1	CLAB2	0
BLGCLAB	9	1	CLAB3	0
BLGCLAB	9	1	CLAB4	0
BLGCLAB	9	1	CLAB5	0
BLGCLAB	9	1	CLAB6	0
BLGCLAB	9	1	CLAB7	0
BLGCLAB	9	1	CLAB8	0
BLGCLAB	9	1	CLAB9	0
BLGCLAB	9	1	CLAB10	0
BLGCLAB	9	2	CLAB1	0
BLGCLAB	9	2	CLAB2	1
BLGCLAB	9	2	CLAB3	0
BLGCLAB	9	2	CLAB4	0
BLGCLAB	9	2	CLAB5	0
BLGCLAB	9	2	CLAB6	0
BLGCLAB	9	2	CLAB7	0
BLGCLAB	9	2	CLAB8	0
BLGCLAB	9	2	CLAB9	0
BLGCLAB	9	2	CLAB10	0
BLGCLAB	9	3	CLAB1	1
BLGCLAB	9	3	CLAB2	0
BLGCLAB	9	3	CLAB3	0
BLGCLAB	9	3	CLAB4	0
BLGCLAB	9	3	CLAB5	0
BLGCLAB	9	3	CLAB6	0
BLGCLAB	9	3	CLAB7	0
BLGCLAB	9	3	CLAB8	0
BLGCLAB	9	3	CLAB9	0
BLGCLAB	9	3	CLAB10	0
BLGCLAD	9	1	CLAD1	0
BLGCLAD	9	1	CLAD2	1
BLGCLAD	9	1	CLAD3	0
BLGCLAD	9	1	CLAD4	0
BLGCLAD	9	1	CLAD5	0
BLGCLAD	9	1	CLAD6	0
BLGCLAD	9	1	CLAD7	0
BLGCLAD	9	1	CLAD8	0
BLGCLAD	9	1	CLAD9	0
BLGCLAD	9	1	CLAD10	0
BLGCLAD	9	2	CLAD1	0
BLGCLAD	9	2	CLAD2	0
BLGCLAD	9	2	CLAD3	0
BLGCLAD	9	2	CLAD4	0
BLGCLAD	9	2	CLAD5	0
BLGCLAD	9	2	CLAD6	0
BLGCLAD	9	2	CLAD7	1
BLGCLAD	9	2	CLAD8	0
BLGCLAD	9	2	CLAD9	0
BLGCLAD	9	2	CLAD10	0
BLGCLAD	9	3	CLAD1	1
BLGCLAD	9	3	CLAD2	0
BLGCLAD	9	3	CLAD3	0
BLGCLAD	9	3	CLAD4	0
BLGCLAD	9	3	CLAD5	0
BLGCLAD	9	3	CLAD6	0
BLGCLAD	9	3	CLAD7	0
BLGCLAD	9	3	CLAD8	0
BLGCLAD	9	3	CLAD9	0
BLGCLAD	9	3	CLAD10	2
